Date,Open,High,Low,Close,Volume,Adj Close
2013-04-04,37.56,38.12,37.27,37.32,4288600,31.58342
2013-04-03,38.00,38.105,37.505,37.505,4551100,31.73998
2013-04-02,37.565,38.345,37.50,38.20,6008200,32.32815
2013-04-01,37.355,37.355,37.355,37.355,000,31.61304
2013-03-29,37.355,37.355,37.355,37.355,000,31.61304
2013-03-28,37.525,37.795,37.185,37.355,6351600,31.61304
2013-03-27,37.955,38.095,37.13,37.44,6256500,31.68497
2013-03-26,38.035,38.135,37.60,37.70,5966100,31.90501
2013-03-25,38.585,38.855,37.80,37.80,5359200,31.98963
2013-03-22,38.33,38.505,38.08,38.10,4596700,32.24352
2013-03-21,38.65,38.805,38.225,38.25,5175800,32.37046
2013-03-20,38.73,38.935,38.42,38.73,3834000,32.77668
2013-03-19,38.55,38.725,38.27,38.395,5050300,32.49318
2013-03-18,38.14,38.86,37.91,38.725,5223600,32.77245
2013-03-15,39.535,39.545,38.98,39.165,7815900,32.64551
2013-03-14,39.40,39.595,39.30,39.565,4500000,32.97892
2013-03-13,39.435,39.48,38.92,39.21,3129400,32.68302
2013-03-12,39.23,39.475,39.13,39.35,3314200,32.79971
2013-03-11,39.015,39.375,39.015,39.315,3169700,32.77054
2013-03-08,39.305,39.50,38.96,39.19,4120300,32.66635
2013-03-07,39.26,39.265,38.815,39.16,3699800,32.64134
2013-03-06,39.13,39.355,38.97,39.075,3616200,32.57049
2013-03-05,38.50,39.115,38.44,39.00,5039200,32.50797
2013-03-04,38.01,38.40,38.01,38.17,2818100,31.81614
2013-03-01,38.16,38.525,37.825,38.315,5060000,31.937
2013-02-28,38.15,38.375,37.725,38.295,5121700,31.92033
2013-02-27,37.53,38.05,37.325,38.005,5475600,31.67861
2013-02-26,37.725,37.915,37.17,37.195,8304800,31.00344
2013-02-25,38.18,39.18,38.15,38.41,6305800,32.01619
2013-02-22,37.525,38.24,37.50,38.06,5461400,31.72445
2013-02-21,37.655,37.70,37.165,37.23,6167400,31.03261
2013-02-20,38.40,38.445,37.86,37.955,4250500,31.63693
2013-02-19,37.32,38.47,37.315,38.30,6366900,31.9245
2013-02-18,37.49,37.63,37.04,37.445,3110900,31.21182
2013-02-15,37.83,37.905,37.16,37.30,7321300,31.09096
2013-02-14,38.205,38.405,37.625,37.735,6490100,31.45355
2013-02-13,38.89,38.895,38.12,38.505,5527900,32.09537
2013-02-12,38.11,38.37,38.03,38.36,4485400,31.97451
2013-02-11,38.22,38.335,37.98,38.16,4141100,31.8078
2013-02-08,38.405,38.71,38.21,38.38,4851300,31.99118
2013-02-07,39.11,39.43,38.37,38.405,5377000,32.01202
2013-02-06,39.425,39.585,38.665,38.895,5048700,32.42045
2013-02-05,39.01,39.73,38.96,39.45,4379200,32.88307
2013-02-04,40.19,40.33,39.00,39.00,6073700,32.50797
2013-02-01,39.95,40.48,39.645,40.16,4323900,33.47488
2013-01-31,40.45,40.76,39.93,39.93,6875200,33.28317
2013-01-30,40.20,40.82,40.15,40.62,5751900,33.85831
2013-01-29,39.515,40.345,39.50,40.135,4727800,33.45404
2013-01-28,39.835,39.92,39.495,39.495,2989200,32.92058
2013-01-25,39.565,39.985,39.525,39.825,3420200,33.19564
2013-01-24,39.35,39.735,39.16,39.735,2654300,33.12063
2013-01-23,39.65,39.65,39.25,39.42,2612900,32.85806
2013-01-22,39.345,39.565,39.075,39.49,2522700,32.91641
